Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m
4320,420,179,1930,159.796565,0,1,0
1008,93,50,2003,217.852706,0,1,0
1297,118,74,2001,221.877299,0,1,0
3430,291,108,2002,111.171956,0,1,0
1243,138,59,1997,209.958392,0,1,0
2652,224,89,2011,95.734177,0,1,0
2120,236,122,1986,150.488003,0,1,0
1038,148,45,1990,233.824271,0,1,0
3422,155,80,1996,215.136317,0,1,0
1290,139,88,2004,169.802839,0,1,0
1191,377,52,1965,149.728115,0,1,0
2500,211,108,2003,196.346972,0,1,0
2569,163,90,2009,116.825981,0,0,0
7039,242,113,1999,97.228821,0,1,1
2010,135,90,2008,117.615592,0,0,0
1106,129,45,1998,234.85481,0,1,0
3190,161,120,2009,207.413059,0,1,0
3634,335,203,2000,85.424055,0,1,0
12953,611,291,1998,196.014468,0,1,0
3615,630,208,1925,15.274082,0,1,0
15390,462,140,1970,61.865255,0,1,0
6608,307,87,1976,70.834441,1,1,0
3024,137,46,1993,208.9282,0,1,0
1956,124,75,2005,180.175451,0,0,0
1598,149,84,2004,201.738216,0,1,0
5643,450,119,1987,61.324198,0,1,0
1071,305,30,1960,113.694337,0,1,0
5800,193,98,2008,66.729927,0,0,0
1859,134,88,2002,277.589715,0,1,0
1225,73,42,1994,360.617108,0,1,0
1100,141,53,2002,298.687577,0,1,0
2800,175,123,2010,129.315429,0,0,0
1165,119,66,1986,241.204122,0,1,0
1240,90,66,2006,329.11634,0,1,0
1016,148,60,2004,214.804716,0,1,0
2212,132,90,2008,221.898039,0,1,0
1100,124,46,1991,213.636811,0,1,0
2481,123,83,2012,11.622707,0,1,0
2192,371,68,1960,95.415214,0,1,0
1180,143,68,1982,186.869927,0,1,0
16708,2104,415,2006,16.689565,1,0,0
1585,122,66,2012,18.03298,0,1,0
6096,253,116,1997,89.220838,0,1,0
1036,101,46,1991,271.640188,0,1,0
1329,126,51,1997,164.944255,0,1,0
1310,156,49,2011,94.289582,0,0,0
4768,253,137,2004,97.975712,0,1,0
21793,419,140,1967,131.400729,0,1,0
1172,162,77,2003,99.677987,0,1,0
1290,161,59,2008,139.874871,0,0,0
1326,107,69,2005,207.38966,0,0,0
1674,148,82,2010,222.523322,0,0,0
1146,217,65,1935,78.689367,0,1,0
1571,204,131,2006,125.355658,0,1,0
2052,224,75,1997,103.512952,0,1,0
1754,187,118,1998,123.496905,0,1,0
