Precio,Terreno,Construido,Año_Construccion,densidad_barrio,colegio_15m,jardin_15m,trabajo_15m,es_depto
7281,207,149,2003,110.806979,1,1,0,FALSE
1300,68,68,2011,108.970759,0,1,0,TRUE
1309,146,123,1930,131.360149,0,1,0,FALSE
1700,244,76,1985,84.931469,0,1,0,FALSE
1200,105,90,1950,51.499604,0,1,0,FALSE
8090,108,108,1997,156.848492,0,1,0,TRUE
3759,82,82,2009,190.773498,1,1,0,TRUE
1549,52,52,2005,225.820373,0,1,0,TRUE
1289,143,42,1984,203.876482,0,1,0,FALSE
4401,61,61,2012,114.23818,1,1,1,TRUE
2230,56,56,2009,480.888334,0,1,0,TRUE
7612,498,261,1923,76.665445,0,1,0,FALSE
4200,100,100,2001,122.807958,1,1,0,TRUE
1734,52,52,2009,764.531927,0,1,1,TRUE
1590,54,54,2008,823.894844,0,1,0,TRUE
2587,69,69,2009,199.488298,0,1,0,TRUE
1648,107,78,2008,46.763408,0,0,0,FALSE
1918,59,59,2002,406.130994,0,1,0,TRUE
1429,177,58,1993,160.789289,0,1,0,FALSE
1212,56,56,2009,288.065532,0,1,0,TRUE
5445,100,100,2004,311.41382,0,1,0,TRUE
1760,53,53,2008,723.951219,1,1,1,TRUE
2416,135,107,2010,134.773752,0,1,0,FALSE
1621,400,102,1997,87.413471,0,1,0,FALSE
18455,437,437,2003,28.822817,1,1,0,TRUE
1479,60,60,2008,197.264973,0,1,0,TRUE
1911,217,75,1998,108.258113,0,1,0,FALSE
5288,114,114,2008,209.920468,1,1,0,TRUE
1348,82,82,1960,220.486583,1,1,0,TRUE
2780,73,73,1981,179.370795,1,1,1,TRUE
1770,52,52,2008,1023.133139,0,1,1,TRUE
1678,29,29,2012,44.434988,0,1,0,TRUE
2938,52,52,2000,695.665925,0,1,1,TRUE
1473,67,67,2005,64.02935,0,1,0,TRUE
6285,278,130,2000,83.264835,0,1,0,FALSE
5202,117,117,1978,70.313898,1,1,1,TRUE
2368,42,42,1992,170.231629,0,1,0,TRUE
1172,71,38,1986,142.540306,0,1,0,FALSE
2500,162,94,2002,85.873388,0,1,0,FALSE
1053,53,53,1968,170.039912,0,1,0,TRUE
2308,68,68,2011,402.826797,0,1,0,TRUE
6300,102,102,2010,538.680227,0,1,0,TRUE
4671,595,140,2007,28.536521,0,1,0,FALSE
1210,111,62,2001,304.827676,0,1,0,FALSE
2630,66,66,2009,183.842917,0,1,0,TRUE
2850,184,130,1998,151.861336,0,1,0,FALSE
1382,158,94,2003,143.444847,0,1,0,FALSE
1377,39,39,2012,23.741065,0,1,0,TRUE
5636,262,122,2002,82.958295,0,0,0,FALSE
1858,141,71,2010,8.285758,0,0,0,FALSE
4245,75,75,2002,348.931645,0,1,0,TRUE
2964,200,108,1993,135.339997,0,1,0,FALSE
1439,1861,131,2003,6.868932,0,0,0,FALSE
1010,44,44,2011,59.776448,0,1,0,TRUE
4213,190,134,1990,118.100322,0,1,0,FALSE
4009,75,75,1955,280.858256,1,1,1,TRUE
1455,55,55,2009,232.508179,0,1,0,TRUE
1098,32,32,2009,1324.511322,0,1,0,TRUE
6989,128,128,2001,488.197951,0,1,0,TRUE
1057,29,29,2010,1295.27435,1,1,0,TRUE
1742,123,100,1940,73.786976,0,1,0,FALSE
1104,32,32,2010,728.850812,1,1,1,TRUE
21600,277,277,2009,1.523755,0,0,0,TRUE
1035,60,60,1957,366.806109,1,1,1,TRUE
1325,32,32,2011,914.182405,0,1,0,TRUE
4600,97,97,2010,79.805279,0,1,0,TRUE
1282,100,72,1967,156.910332,0,1,0,FALSE
2254,69,69,2010,1052.948214,0,1,0,TRUE
2090,121,81,2008,42.323901,0,1,0,FALSE
1050,23,23,2009,365.683484,1,1,1,TRUE
2918,63,63,1969,157.286587,0,1,0,TRUE
3065,87,87,2008,512.061204,0,1,0,TRUE
1666,200,69,1985,184.320549,0,1,0,FALSE
1750,60,60,2008,52.002021,0,1,0,TRUE
6505,126,126,2009,243.863372,0,1,0,TRUE
1752,57,57,2010,568.634646,1,1,1,TRUE
3822,83,83,2007,213.743442,0,1,0,TRUE
3966,104,104,1994,320.133555,0,1,0,TRUE
1807,38,38,1993,344.320701,1,1,0,TRUE
1040,55,55,2009,288.065532,0,1,0,TRUE
3646,272,140,1999,116.698819,0,1,0,FALSE
2827,67,67,1998,467.461263,1,1,0,TRUE
1393,176,62,1981,132.595886,0,1,0,FALSE
1180,215,32,1988,111.915336,0,1,0,FALSE
1073,135,66,1972,168.588992,0,1,0,FALSE
1997,58,58,2009,2108.09314,0,1,1,TRUE
1248,31,31,2011,470.529026,0,1,0,TRUE
10544,371,138,1989,65.089339,0,1,0,FALSE
2440,58,58,2008,298.810418,0,1,0,TRUE
1539,67,67,1972,576.187871,0,1,0,TRUE
2948,80,80,1997,136.092414,1,1,0,TRUE
4071,69,69,2006,354.736511,1,1,1,TRUE
1970,83,83,2003,408.819933,0,1,0,TRUE
1034,30,30,2010,56.622629,0,1,0,TRUE
6314,213,139,1996,115.78556,0,1,0,FALSE
2126,160,126,2002,121.652409,0,1,0,FALSE
2858,82,82,2011,125.097599,0,1,0,TRUE
1113,32,32,2012,1447.680019,0,1,0,TRUE
1850,83,83,2008,2.948846,0,0,0,TRUE
2058,115,115,2003,73.40257,0,1,0,TRUE
3046,32,32,2008,342.455271,1,1,0,TRUE
1902,72,72,2007,213.743442,0,1,0,TRUE
2536,177,87,1994,176.737858,0,1,0,FALSE
1633,41,41,2008,723.951219,1,1,1,TRUE
1077,305,50,1967,126.537041,0,1,0,FALSE
1182,300,178,1968,156.765905,0,1,0,FALSE
2604,72,72,1981,149.214504,0,1,0,TRUE
6227,168,100,1964,54.018362,1,1,0,FALSE
13932,805,197,1991,12.358601,1,0,0,FALSE
1645,73,73,2009,72.787345,0,1,0,TRUE
3940,89,89,2007,236.073413,1,1,0,TRUE
1817,128,109,2008,200.274696,0,0,0,FALSE
3194,600,93,1960,88.544076,0,1,0,FALSE
4125,322,132,2003,32.421245,0,1,0,FALSE
7500,76,49,2000,352.332357,0,1,0,FALSE
5409,250,115,1987,76.631348,0,1,0,FALSE
2620,70,70,2007,404.619293,1,1,0,TRUE
6015,408,143,1992,191.130311,0,1,0,FALSE
4800,518,127,1983,58.146617,0,1,0,FALSE
14975,605,209,1975,42.312959,0,1,1,FALSE
3850,287,131,2008,113.814877,0,0,0,FALSE
3665,77,77,2012,191.635007,1,1,0,TRUE
1434,48,48,2008,449.342324,0,1,0,TRUE
2189,240,49,1966,118.042965,0,1,0,FALSE
1025,114,52,1985,220.333899,0,1,0,FALSE
1061,29,29,2012,146.862106,1,1,0,TRUE
1740,70,70,1964,14.532184,1,1,0,TRUE
1712,34,34,2011,52.869402,0,1,0,TRUE
1499,264,111,1952,85.477648,0,1,0,FALSE
4053,66,66,2007,365.672147,0,1,0,TRUE
3982,208,105,2012,34.592071,0,1,0,FALSE
1616,119,69,2009,175.163782,0,1,0,FALSE
2355,53,53,2008,183.756079,1,1,0,TRUE
7602,202,202,2006,6.266257,0,0,0,TRUE
1925,74,74,2004,410.582299,0,1,0,TRUE
1170,138,67,1998,212.831268,0,1,0,FALSE
1985,57,57,2010,568.634646,1,1,1,TRUE
1006,38,38,2009,195.028942,0,1,0,TRUE
1975,61,61,2009,209.230717,0,1,0,TRUE
1610,47,47,2011,121.652409,0,1,0,TRUE
3802,111,111,2007,217.391688,1,1,0,TRUE
1140,67,67,1970,297.811121,0,1,0,TRUE
4000,75,75,2008,631.173571,0,1,0,TRUE
1156,122,122,2011,24.27824,0,1,0,TRUE
1900,71,71,2003,365.683484,1,1,1,TRUE
1382,162,40,1971,229.079872,0,1,0,FALSE
3264,125,125,1966,360.102858,1,1,0,TRUE
1033,49,49,2007,348.818286,0,1,0,TRUE
1072,80,65,2008,363.449037,0,1,0,FALSE
3792,76,76,1998,467.461263,1,1,0,TRUE
3328,79,79,2008,345.350242,0,1,0,TRUE
1352,45,45,2009,203.264572,0,1,0,TRUE
2610,642,98,1980,4.705484,0,1,0,FALSE
3000,63,63,2011,41.483255,1,1,1,TRUE
1678,23,23,2007,454.116945,0,1,0,TRUE
5356,252,125,1998,94.209904,0,1,0,FALSE
1685,73,73,2009,108.84052200000001,0,1,0,TRUE
1644,180,55,2011,75.018578,0,1,0,FALSE
3592,239,100,2003,99.589003,0,1,0,FALSE
2484,118,118,1967,303.510315,0,1,0,TRUE
3845,77,77,1996,745.504521,1,1,0,TRUE
1962,329,133,1977,443.275334,1,1,0,FALSE
1160,45,45,1995,176.256855,0,1,0,TRUE
1602,122,73,2001,254.85991,0,1,0,FALSE
3427,68,68,2013,61.598005,0,1,0,TRUE
3734,88,88,2012,301.41361,0,1,0,TRUE
13872,338,213,2012,89.766633,0,1,0,FALSE
8320,130,130,2012,89.220838,0,1,0,TRUE
4681,126,126,2005,220.055011,0,1,0,TRUE
18707,535,149,1958,321.993451,0,1,0,FALSE
3210,188,75,1967,87.224454,0,1,0,FALSE
6596,432,140,2006,70.101324,0,1,0,FALSE
3500,61,61,2005,172.372307,1,1,0,TRUE
1857,512,105,1974,54.543364,0,1,0,FALSE
3152,96,96,1992,451.942985,1,1,0,TRUE
1882,219,73,2011,2.936843,0,0,0,FALSE
3870,230,104,1959,74.566277,0,1,0,FALSE
3056,65,65,2009,165.01014,0,1,0,TRUE
1944,55,55,2010,1171.490137,0,1,0,TRUE
1361,65,65,2007,430.064791,0,1,0,TRUE
7191,324,125,1960,76.403308,1,1,0,FALSE
1638,196,73,2011,2.936843,0,0,0,FALSE
3654,116,116,1994,479.71077,1,1,0,TRUE
11924,138,138,2011,10.989714,0,0,0,TRUE
5274,117,117,2010,406.464151,1,1,0,TRUE
1727,186,186,2012,15.817097,0,0,0,TRUE
2859,78,78,2012,73.26962,0,1,0,TRUE
2368,3640,347,1948,117.822943,0,1,0,FALSE
3679,444,115,2003,61.81022,0,1,0,FALSE
2246,81,81,2009,480.888334,0,1,0,TRUE
3947,328,100,1968,214.645873,0,1,0,FALSE
2056,121,109,2004,241.704606,0,1,0,FALSE
2961,56,56,2009,377.208114,1,1,0,TRUE
1716,64,64,2007,199.667755,0,1,0,TRUE
1334,34,34,2009,2108.09314,0,1,1,TRUE
1641,286,99,1972,110.447473,0,1,0,FALSE
1517,50,50,2012,313.012092,0,1,0,TRUE
3507,355,75,1983,54.300964,0,1,0,FALSE
6206,145,145,1985,193.511425,1,1,0,TRUE
1124,184,31,1972,19.664098,0,1,0,FALSE
3118,68,68,2006,566.608304,0,1,0,TRUE
1697,42,42,2010,868.533515,1,1,0,TRUE
2317,72,72,2011,354.48691,0,1,0,TRUE
2756,57,57,2013,30.120807,0,1,0,TRUE
2572,141,85,2010,23.874804,0,1,0,FALSE
2970,72,72,2009,365.683484,1,1,1,TRUE
1816,193,61,1968,166.601466,0,1,0,FALSE
1383,98,60,2004,245.111305,0,0,0,FALSE
1769,47,47,2012,54.714613,0,1,0,TRUE
1239,38,38,2007,427.638703,0,1,1,TRUE
1434,57,57,2005,121.768922,0,1,0,TRUE
1798,61,61,2009,582.163758,0,1,0,TRUE
5306,111,111,1981,79.5355,0,1,0,TRUE
1029,103,43,1992,49.159554,0,1,0,FALSE
2602,63,63,2011,325.192878,0,1,0,TRUE
1372,46,46,2008,823.894844,0,1,0,TRUE
2151,62,62,1978,1175.933243,1,1,0,TRUE
1830,200,88,2008,132.220026,0,0,0,FALSE
1749,128,76,2010,215.052449,0,1,0,FALSE
5834,307,239,1942,132.711375,1,1,0,FALSE
2404,80,80,1980,226.520818,1,1,0,TRUE
1263,51,51,2007,262.903716,0,1,0,TRUE
1085,100,47,1994,245.054395,0,1,0,FALSE
1093,149,55,1981,168.060119,0,1,0,FALSE
1908,62,62,1975,302.277417,0,1,0,TRUE
1664,63,63,1968,274.092612,0,1,0,TRUE
2547,65,65,2006,344.183913,0,1,0,TRUE
4756,313,92,1965,81.810368,0,1,0,FALSE
2358,96,96,1980,182.330923,1,1,0,TRUE
1562,119,66,2012,18.03298,0,1,0,FALSE
18000,997,431,1999,26.112544,1,1,0,FALSE
4600,85,85,2007,558.158905,0,1,0,TRUE
1582,296,112,1972,137.184027,0,1,0,FALSE
1731,59,59,2009,585.860268,0,1,0,TRUE
2065,35,35,2011,155.195497,0,1,0,TRUE
27623,1567,339,1990,17.992837,0,1,0,FALSE
